32.94,32.44,1120000,0.25,0.0077,1
33,32.69,1026200,0.19,0.0058,0
32.88,32.19,1861300,-0.5,-0.0152,0
32.5,32,1741400,-0.12,-0.0039,0
32.44,31.82,1646600,-0.25,-0.0078,0
32.5,31.88,1157000,-0.12,-0.0039,1
32.31,31.88,452700,0.38,0.0118,0
32.56,31.88,1724400,-0.31,-0.0096,1
32.25,31.82,1433600,0.31,0.0097,0
32.44,31.57,1912200,-0.62,-0.0194,1
32.12,31.75,1853000,0.25,0.0079,1
32,31.69,1185500,0.12,0.0039,1
32.56,31.88,1098300,0.56,0.0175,0
32.62,31.94,1120900,-0.25,-0.0077,0
32.38,31.94,1151600,-0.37,-0.0115,1
32.12,31.75,1312800,0.06,0.0019,1
32.31,31.88,1111600,0.25,0.0078,1
32.69,32.12,1716100,0.31,0.0096,0
32.69,31.88,1442800,-0.44,-0.0134,1
32.56,31.94,3128800,0.44,0.0135,1
32.81,32.44,968300,0.06,0.0020,1
32.81,32.5,854700,0.19,0.0057,1
33.44,32.75,1337200,0.44,0.0134,0
33.44,33.12,1104100,0,0.0000,0
33.38,32.94,751400,-0.25,-0.0075,0
33,32.56,994400,-0.19,-0.0058,1
33.38,32.69,1310900,0.44,0.0134,0
33.56,32.81,1446600,-0.31,-0.0095,0
33.19,32.75,1214200,-0.06,-0.0018,1
33.12,32.88,673700,0.19,0.0056,0
33.12,32.62,745300,-0.19,-0.0056,1
33,32.75,856100,0.12,0.0038,1
33.44,32.88,840200,0.38,0.0114,0
33.56,33.12,1218100,0,0.0000,0
33.31,32.81,1703800,-0.38,-0.0112,1
33.25,32.75,956400,0.19,0.0056,0
33,32.56,1822200,-0.44,-0.0131,0
32.5,32.12,2560900,-0.5,-0.0153,0
32.25,31.75,2690800,-0.06,-0.0020,0
32,31.32,3813000,-0.69,-0.0213,1
31.88,31.44,2066700,0.07,0.0021,1
31.75,31.38,2149700,0.06,0.0019,0
31.75,31.44,1322500,-0.18,-0.0058,1
31.88,31.5,1295200,0.43,0.0138,1
32.38,32,1660800,0.38,0.0118,1
32.44,32.12,1080500,0.12,0.0039,0
32.44,32.12,921600,-0.06,-0.0020,0
32.38,32.12,1203600,-0.19,-0.0057,0
32.38,32,1390000,0,0.0000,0
